Function,VectorLength_Atom0,VectorLength_Atom12
ATSAtom,1,1
AcidBaseCheck,2,2
AromaticityCheck,1,1
AtomResonance,2,2
AtominFusedRing,2,2
AtominXRings,1,1
AugZagrebAtom,1,1
AugmentedGraphAttributeAtom,2,2
BaryszAtom,1,1
BridgeHeadCheck,2,2
ChargeCheck,1,1
ChiAtom,2,2
ChiAtomValence,3,3
ChiralityCheck,3,3
CoreCount,1,1
CoreElectrons,1,1
DeltaInteraction,4,4
ESOSAtom,1,1
EState,36,36
ETSAtom,1,1
Eccentricity,3,3
ElectronegativityCheck,1,1
EncodeElement,2,2
EtaBeta,5,5
EtaPsi,1,1
FormalCharge,1,1
FreeEnergies,3,3
GetAP,1,1
GetAPC,1,1
GetCN,1,1
GetNeighbors,4,4
GetPS,1,1
GetVdW,1,1
HDSA,1,1
HarmonicAtom,2,2
HybridizationCheck,9,4
HyperDegreeAtom,1,1
HyperbolicAtom,1,1
InformationContent,5,5
IntrinsicState,1,1
IonizationPotential,1,1
IsPartOfBRICSBond,1,1
KleinAtom,1,1
LabuteASA,1,1
LocantCountForAtom,0,0
LogS,1,1
NirmalaAtom,1,1
PiElectrons,1,1
PropsRelativetoCarbon,0,0
RadicalCheck,2,2
RamificationNumber,2,2
RandicAtom,2,2
RingCheck,1,1
SMRandSLogP,12,12
Schultz,1,1
SigmaElectrons,1,1
SomborAtom,1,1
SpiroCheck,2,2
SuperdenticIndex,1,1
SurroundingIPFeatures,5,5
TPSA,1,1
TopoChargeAtom,4,4
VEMAtom,5,5
VEWIAtom,1,1
VEWIAtomByOrder,3,3
VertexAdjacency,1,1
VertexDistanceDegreeAtom,1,1
WeightedInformationContent,5,5
Xui,2,2
ZagrebAtom,1,1
